"country","key","village_id","wp_id_c","wp_id","wp_name","household_id"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOKM35546333"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOOB08473667"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOXR22284567"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TO2701523567"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOUE05322413"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TO4648215413"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOSW35437567"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TO3553251567"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOLN39261413"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TORJ46148333"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOB331162567"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TO6Y42385333"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TORG19218667"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOES50136413"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOXY22318667"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TO7Z57016333"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TOPY33328413"
"Uganda","UUID:51C17249-1066-42CF-B0A6-C66D50DC480C","1221702003","1221702003006","WP2003006","OJWANG BOREHOLE","TO4J00596333"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NA0302105762"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NATN03484536"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAC048217313"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NA0I08368513"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAH736388536"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAQE00451453"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAV822092453"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAIP46037762"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NA4J54518453"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAPP05153762"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAT820315762"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAG939004453"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAXA375310453"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAC156276762"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAKV43527536"
"Uganda","UUID:522E9916-E81F-4D8D-B433-CCFBA826D5E6","1170106002","1170106002005","WP6002005","BUYONDO BEACH","NAMH37081536"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAZO22296536"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MA4235214536"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MA0140337536"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MADK08371536"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAUV27101536"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAG6010110513"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAD830542313"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAXH45323313"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MA00233810762"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MATC15463313"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAFT59381453"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAT103544453"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAPF40484513"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAZN05325453"
"Uganda","UUID:559125F3-129F-464A-A21C-2A150651DC46","1151203003","1151203003010","WP3003010","BUKIZIBU TRADING CENTRE BOREHOLE","MAX538236513"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KA2R51206984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAI815549243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KATS59084984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAOQ00105845"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KA1156009984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAFS27051892"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAUY38534243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAKU11352243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KA1L26367243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KA2J53494984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAZF51531243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KATP28265984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KACC46419984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAMZ23438984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAU800489243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAOX24319984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAGY05455243"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KAFB42487984"
"Uganda","UUID:594228A6-1373-41D3-88A2-FC8C8138A69C","1111201005","1111201005008","WP1005008","WANDERA CHARLES BOREHOLE","KA2K12441984"
